question_id,company_role_id,category,difficulty,question,answer,explanation,tags,frequency
100,1,DBMS,Easy,Explain 'SQL Injection Prevention': How do you prevent SQL Injection vulnerabilities?,Use Prepared Statements (Parametric Queries) or Object Relational Mappers (ORMs). Avoid string concatenation.,"Prepared statements compile SQL command structure first, treating user input strictly as parameters, not executable code.",['Security'],Very Common
101,1,DBMS,Easy,"Explain 'SQL Joins': Explain Inner Join, Left Join, and Full Outer Join.","Inner: Matching rows in both tables. Left: All rows from left table, matching from right. Full Outer: All rows from both tables.",Right Join is left join with tables swapped. Null values fill missing columns in left/right joins.,['SQL'],Very Common
102,1,DBMS,Medium,Explain 'Group By vs Partition By': What is the difference between GROUP BY and PARTITION BY?,GROUP BY collapses multiple rows into a single summary row. PARTITION BY is a window function that keeps individual rows.,GROUP BY reduces row count. PARTITION BY computes running totals/ranks over windows without collapsing rows.,['SQL'],Common
103,1,DBMS,Medium,Explain 'DBMS Deadlocks': How do database engines handle deadlocks?,Database engines run background deadlock detection loops that scan wait-for graphs and abort one transaction.,"Aborted transactions rollback, releasing their locks. Developers can avoid deadlocks by updating tables in a consistent order.","['Locking', 'Concurrency']",Common
104,1,DBMS,Medium,Explain 'Database Migrations': Why are database migration tools like Flyway or Liquibase used?,They manage and apply version-controlled schema modifications sequentially across different environment environments.,"Maintains schema parity across Local, Staging, and Production databases, avoiding manual execution failures.",['DevOps'],Common
105,1,DBMS,Medium,Explain 'Horizontal vs Vertical Scaling': Compare database horizontal and vertical scaling.,Vertical: Upgrading CPU/RAM/Disk of a single node. Horizontal: Adding more database nodes (read replicas/shards).,Vertical has physical limits and single point of failure. Horizontal is elastic but adds network latency and synchronization issues.,['Scalability'],Common
106,1,DBMS,Hard,Explain 'MVCC': What is Multi-Version Concurrency Control (MVCC)?,MVCC allows readers and writers to access data concurrently without locking. Readers see a snapshot version of data.,"Implemented by keeping multiple row versions. PostgreSQL uses transaction IDs (xmin, xmax) for visibility check.","['Concurrency', 'Transactions']",Common
107,1,DBMS,Hard,Explain 'Cassandra LSM Trees': Why does Apache Cassandra use Log-Structured Merge (LSM) Trees?,LSM Trees optimize write throughput by writing sequentially to memory (Memtable) and flushing to files (SSTables) on disk.,Avoids random disk seeks. High-speed writes are merged and sorted asynchronously via compaction loops.,"['Cassandra', 'NoSQL']",Common
108,1,DBMS,Medium,Explain 'Redis Persistence': Explain RDB and AOF persistence models in Redis.,RDB: Point-in-time snapshot of dataset saved to disk. AOF: Append-only log of every write operation received.,RDB is fast for restarts but loses data since last snapshot. AOF is durable but creates larger files and slower starts.,"['Redis', 'Caching']",Common
109,1,DBMS,Hard,Explain 'ElasticSearch Sharding': What are primary and replica shards in ElasticSearch?,Primary shards store data and distribute indices. Replica shards provide read scaling and hardware fault-tolerance.,"Replica shards are copies of primary shards. If a primary shard node fails, a replica is promoted to primary.","['ElasticSearch', 'Search Index']",Common
110,1,DBMS,Hard,Explain 'DynamoDB Partition Keys': How does DynamoDB route queries using Partition Keys?,DynamoDB hashes the Partition Key to determine the physical partition where the item is stored.,"To prevent hot spots, partition keys must have high cardinality (e.g. user_id rather than country).","['DynamoDB', 'NoSQL']",Common
111,1,DBMS,Medium,Explain 'MongoDB Replica Sets': What is a MongoDB Replica Set?,"A group of mongod processes that maintain the same data set, providing high availability and redundancy.",Consists of one Primary node (writes) and multiple Secondaries. Heartbeats elect a new primary if primary fails.,"['MongoDB', 'NoSQL']",Common
112,1,DBMS,Medium,Explain 'Database Denormalization': When and why would you denormalize a database?,"To optimize read performance in read-heavy applications, by adding redundant columns to avoid expensive SQL joins.",Reduces read latency but requires application-level logic to maintain consistency across duplicate records.,['Performance'],Common
113,1,DBMS,Easy,Explain 'Common Table Expressions (CTE)': What is a CTE and why is it useful?,"A temporary named result set defined within a SELECT statement, written using the WITH keyword.","Improves readability of complex nested queries. Can be recursive, allowing graph and hierarchical queries.",['SQL'],Common
114,1,DBMS,Medium,Explain 'Database Triggers': What are database triggers and their drawbacks?,"Automated blocks of SQL code executed in response to database events (INSERT, UPDATE, DELETE).","Drawbacks: Implicit execution makes debugging difficult, decreases write performance, and hides business logic.",['Database Objects'],Common
115,1,DBMS,Medium,Explain 'Stored Procedures': What are stored procedures and their pros/cons?,"Compiled SQL modules stored in the database database server, executed by calling their name.","Pros: Network savings, security. Cons: Vendor lock-in, hard to unit test, increases database CPU load.",['Database Objects'],Common
116,1,DBMS,Medium,Explain 'Index Fragmentation': What is index fragmentation and how do you resolve it?,"Occurs when data insertions/updates split pages, causing B-tree leaf nodes to be out of physical order on disk.","Resolved by REBUILDING or REORGANIZING the index, reclaiming unused page space and sorting node sequences.",['Indexing'],Common
117,1,DBMS,Hard,Explain 'Replication Lag': What causes replication lag and how do you mitigate it?,"Occurs when replica nodes cannot write changes as fast as master node receives them, often due to network latency or lock contention.","Mitigated by scaling replica disk write I/O, using parallel replication threads, or optimizing queries.",['Replication'],Common
118,1,DBMS,Hard,Explain 'Two-Phase Commit (2PC)': Explain the Two-Phase Commit protocol.,A distributed transaction consensus protocol containing a Prepare phase and a Commit phase.,"Coordinator asks participants if they can commit. If all reply Yes, coordinator broadcasts Commit; else Rollback.","['Transactions', 'Distributed Systems']",Common
119,1,DBMS,Hard,Explain 'Saga Pattern': How does the Saga Pattern handle distributed transaction consistency?,"Breaks a transaction into local steps. If a step fails, compensation transactions are executed in reverse order to rollback state.",Can be Choreography-based (event-driven) or Orchestration-based (central coordinator service). Avoids locking resources.,"['Distributed Systems', 'Transactions']",Very Common
120,1,DBMS,Hard,Explain 'Columnar Databases': Compare Columnar and Row-oriented databases.,Row-oriented stores row values adjacent on disk (OLTP). Columnar stores column values adjacent on disk (OLAP).,"Row-oriented is optimal for CRUD operations. Columnar is optimal for analytical aggregations (SUM, AVG) over large tables.","['OLAP', 'OLTP']",Common
121,1,DBMS,Medium,Explain 'Eventual Consistency': What is Eventual Consistency?,"A consistency model in distributed databases where replica updates sync asynchronously. If no writes occur, all replicas eventually match.","Improves availability and write throughput (Base model), but reads can briefly return stale data.","['Consistency', 'CAP Theorem']",Common
122,1,DBMS,Hard,Explain 'PostgreSQL VACUUM': Why does PostgreSQL require the VACUUM command?,PostgreSQL uses MVCC. Dead rows from updates/deletes remain on disk. VACUUM reclaims page space of dead rows.,"Autovacuum runs in background, but high-write tables sometimes require manual VACUUM ANALYZE to update statistics.",['PostgreSQL'],Common
123,1,DBMS,Medium,Explain 'Database Backups': Compare Logical and Physical backups.,Logical: SQL script containing table structure and INSERT data (e.g. pg_dump). Physical: Copying binary database files on disk.,Logical is portable but slow. Physical is fast to restore and backup but environment-locked.,['Recovery'],Common
124,1,DBMS,Medium,Explain 'PostgreSQL JSONB': When should you use JSONB columns in PostgreSQL?,"Use JSONB for semi-structured data where schemas change frequently, or for dictionary tags.","JSONB parses strings into binary, allowing indexing (GIN) on nested keys. Regular JSON only stores text strings.",['PostgreSQL'],Common
125,1,DBMS,Medium,Explain 'Connection Leaks': What causes database connection leaks and how do you trace them?,Occurs when code opens a database connection but fails to close it (e.g. missing finally block). Traced using leak detection logs in connection pools.,Tracing utilities (e.g. Hikari leakDetectionThreshold) print stack traces of threads holding connections too long.,['Performance'],Common
126,1,DBMS,Medium,Explain 'NoSQL Types': Explain the four main types of NoSQL databases.,"Document (MongoDB), Key-Value (Redis), Wide-Column (Cassandra), and Graph (Neo4j).","Choose Document for general entities, Key-Value for caching, Wide-Column for time-series, and Graph for connections.",['NoSQL'],Common
127,1,DBMS,Medium,Explain 'Composite Index Leftmost Prefix': Explain the leftmost prefix rule in composite indexes.,"A composite index on (A, B) can optimize queries using (A) or (A, B), but NOT queries using only (B).",Database searches index starting with the first column. Skipping the first column makes the index search invalid.,['Indexing'],Common
128,1,DBMS,Hard,Explain 'Hot Spot Partitioning': How do you avoid hot spot partitions in DynamoDB?,Use partition keys with high cardinality and distribute write volume by appending a random suffix identifier if writing same key.,Ensures hashing function distributes write workload evenly across all partition servers.,"['DynamoDB', 'NoSQL']",Common
129,1,DBMS,Hard,Explain 'Redis Sentinel vs Cluster': Compare Redis Sentinel and Redis Cluster.,"Sentinel: High-availability system providing monitoring, alerts, and automatic master failover. Cluster: Sharding system across multiple nodes.",Sentinel is master-slave setup (non-sharded). Cluster is sharded and scales write throughput horizontally.,"['Redis', 'Caching']",Common
130,1,DBMS,Medium,Explain 'Index Cardinality': What is Index Cardinality and why does it matter?,Cardinality is the uniqueness of values in a column. High cardinality (IDs) vs Low cardinality (Genders).,"Query optimizers avoid using indexes on low cardinality columns, as table scans are more efficient.",['Indexing'],Common
131,1,OS,Medium,Explain 'Process vs Thread': Explain the difference between a process and a thread.,Process is an executing instance of a program with separate memory. Thread is a path of execution inside a process sharing memory.,"Processes are heavy-weight, protected from each other. Threads are light-weight, sharing heap space but having independent stacks.","['Processes', 'Threads']",Very Common
132,1,OS,Medium,Explain 'Deadlock Conditions': What is a Deadlock and what are the four Coffman conditions?,Deadlock is a state where processes are blocked waiting for resources held by each other.,"Conditions: Mutual Exclusion, Hold and Wait, No Preemption, and Circular Wait. All four must hold for a deadlock to occur.",['Deadlocks'],Very Common
133,1,OS,Medium,Explain 'Semaphores vs Mutexes': What is the difference between a Semaphore and a Mutex?,Mutex is a locking mechanism (binary) with ownership. Semaphore is a signaling mechanism (counter) without ownership.,Only the thread that locks a Mutex can unlock it. Any thread can increment/signal a Semaphore to release blocked threads.,"['Concurrency', 'Synchronization']",Very Common
134,1,OS,Medium,"Explain 'CPU Scheduling': Explain SJF, Round Robin, and Priority scheduling algorithms.",SJF: Schedules job with shortest CPU burst next. Round Robin: Allocates fixed time slices sequentially. Priority: Schedules highest priority job.,SJF minimizes average waiting times. Round Robin ensures fairness and avoids starvation but context-switches often.,['Scheduling'],Common
135,1,OS,Medium,Explain 'Virtual Memory & Paging': Explain Virtual Memory and Paging.,Virtual Memory simulates physical RAM by using secondary storage. Paging maps virtual address pages to physical memory frames.,Page table maps virtual addresses to physical. Enables running programs larger than physical memory space.,['Memory Management'],Very Common
136,1,OS,Medium,Explain 'Page Replacement': What is a Page Fault and explain the LRU page replacement algorithm.,Page Fault: CPU requests a page not loaded in RAM. LRU (Least Recently Used) evicts the page that has not been accessed the longest.,LRU requires tracking page access history. Implemented using a queue/stack or aging registers.,['Memory Management'],Common
137,1,OS,Medium,Explain 'Thread Safety': What makes code Thread-Safe and what is a Race Condition?,Thread-safe code operates correctly when accessed by multiple threads. Race condition occurs when output depends on execution order.,"Race conditions occur on unsynchronized access to shared mutable state. Resolved using locks, atomic variables, or monitors.",['Concurrency'],Very Common
138,1,OS,Medium,Explain 'Context Switching': Explain what happens during a context switch.,"CPU stops executing current process, saves registers/state in PCB, and loads register states of new process from its PCB.","Context switching incurs CPU cache flushing and page table reloading overhead, making process switches heavier than thread switches.","['Processes', 'CPU']",Common
139,1,OS,Medium,Explain 'Inter-Process Communication': Explain the different models of IPC.,"Shared Memory, Message Passing (Message Queues), Sockets, and Pipes.",Shared memory is fastest as it avoids system calls once mapped. Message passing is safer as OS manages buffers.,['IPC'],Common
140,1,OS,Medium,Explain 'Thrashing': What is Thrashing in Operating Systems?,"A state where the CPU spends more time swapping pages in and out of disk than executing instructions, due to lack of RAM.",Occurs when total working set sizes of active processes exceed physical RAM. Mitigated by terminating processes.,['Memory Management'],Common
141,1,OS,Medium,Explain 'User vs Kernel Mode': What is the difference between User Mode and Kernel Mode?,User Mode: Restricted execution mode for user applications. Kernel Mode: Privileged execution mode with full hardware access.,Applications run in user mode and switch to kernel mode via system calls when requesting OS resources.,['System Design'],Common
142,1,OS,Medium,Explain 'System Calls': What is a System Call and how does it work?,A system call is the programmatic interface provided by the OS that allows user-mode programs to request kernel-mode services.,"Triggers a software interrupt (trap), switching CPU execution state to kernel mode to run the corresponding handler.",['OS Basics'],Common
143,1,OS,Medium,Explain 'Memory Fragmentation': Compare Internal and External Memory Fragmentation.,"Internal: Allocated memory block is larger than requested data, leaving unused space. External: Free memory is split into small non-contiguous blocks.",Internal occurs in fixed paging. External occurs in variable-sized segmentation. Resolved via paging or compaction.,['Memory Management'],Common
144,1,OS,Medium,Explain 'Segmentation': What is Segmentation in memory management?,"A memory management scheme that divides virtual memory into logical, variable-sized segments (e.g. Code, Stack, Heap).",Each segment has a base address and limit. Provides logical separation but suffers from external fragmentation.,['Memory Management'],Common
145,1,OS,Medium,Explain 'DLL vs Static Library': Compare Dynamic Link Libraries (DLL) and Static Libraries.,"Static: Library code compiled directly into application binary. DLL: Linked dynamically at runtime, shared across processes in RAM.",Static creates larger binaries but runs self-contained. DLLs save memory but suffer from dependency version conflicts.,['OS Basics'],Common
146,1,OS,Hard,Explain 'Monolithic vs Microkernel': Compare Monolithic and Microkernel architectures.,"Monolithic: All OS services (drivers, file system) run in kernel space. Microkernel: Minimal kernel, services run in user space.",Monolithic is faster but failure crashes OS. Microkernel is modular and secure but slower due to IPC overhead.,['System Design'],Common
147,1,OS,Medium,Explain 'Fork System Call': How does the fork() system call work?,"fork() creates a duplicate child process. It returns 0 in the child process, and returns the child's PID in the parent process.",Uses Copy-on-Write (COW) optimization so parent and child share physical memory pages until one modifies them.,['Processes'],Common
148,1,OS,Medium,Explain 'Zombie vs Orphan Processes': What are Zombie and Orphan processes?,Zombie: Finished process whose parent hasn't read its exit status yet. Orphan: Running process whose parent has terminated.,Zombies consume PID slots. Orphans are adopted by the init process (PID 1) which cleans up their state.,['Processes'],Common
149,1,OS,Hard,Explain 'Cache Coherence': What is Cache Coherence in multi-core systems?,Ensures that multiple cores accessing shared memory don't read stale data from their local L1/L2 hardware caches.,"Resolved using cache coherence protocols like MESI (Modified, Exclusive, Shared, Invalid) to invalidate outdated cache lines.",['CPU Architecture'],Common
150,1,OS,Medium,Explain 'Inodes': What is an inode in Unix-like file systems?,"An inode (index node) is a data structure storing file metadata (permissions, owner, size) and pointers to data blocks on disk.",Does not store file name. File names map to inode numbers in directory structures.,['File Systems'],Common
151,1,OS,Medium,"Explain 'RAID Levels': Explain RAID 0, RAID 1, and RAID 5.","RAID 0: Striping (performance, no redundancy). RAID 1: Mirroring (redundancy, no size gain). RAID 5: Block-level striping with distributed parity.",RAID 0 is for speed. RAID 1 is for fault-tolerance. RAID 5 allows recovery of one disk failure with parity overhead.,['Storage'],Common
152,1,OS,Medium,Explain 'Critical Section Problem': What is the Critical Section problem and its requirements?,A region of code accessing shared resources that must not be concurrently accessed by multiple threads.,"Requirements: Mutual Exclusion (only one), Progress (no block), and Bounded Waiting (no starvation).",['Concurrency'],Common
153,1,OS,Hard,Explain 'Peterson's Solution': Explain Peterson's Solution for critical sections.,A classic software-based solution for two threads using a turn variable and a flag array.,"Guarantees mutual exclusion and progress but relies on sequential consistency, which modern CPUs out-of-order execution violates.",['Concurrency'],Common
154,1,OS,Medium,Explain 'Spinlocks': What is a Spinlock and when is it used?,"A lock where a thread loops continuously ('spins') checking if the lock is available, rather than sleeping.","Saves thread context-switch sleep overhead. Optimal for short wait times, commonly used in kernel development.",['Concurrency'],Common
155,1,OS,Medium,Explain 'Starvation vs Deadlock': What is the difference between Starvation and Deadlock?,"Deadlock: Processes are locked waiting for each other, none can progress. Starvation: Process is ready but never gets scheduled.",Deadlocks involve circular dependency blocks. Starvation occurs due to unfair scheduling policies (e.g. priority queues).,"['Scheduling', 'Concurrency']",Common
156,1,OS,Medium,Explain 'Memory-Mapped Files': What is memory-mapping (mmap) and its benefits?,"Maps a file on disk directly into a process's virtual address space, allowing file access via memory pointers.","Avoids system call read/write buffers, yielding high performance for large file reading and writing.",['Memory Management'],Common
157,1,OS,Easy,Explain 'Spooling': What is Spooling in operating systems?,SPOOL (Simultaneous Peripheral Operations On-Line) buffers data for slow devices (like printers) on disk until ready.,Prevents fast CPUs from blocking on slow hardware transfers. Manages print queues seamlessly.,['I/O Devices'],Common
158,1,OS,Medium,Explain 'FAT vs NTFS': Compare FAT and NTFS file systems.,"FAT: Simple table allocation, lacks security, file size limit (4GB). NTFS: Modern journaling file system, supports encryption and permissions.",NTFS tracks changes in journals to prevent file corruption on power loss. FAT is used for USB portability.,['File Systems'],Common
159,1,OS,Medium,Explain 'Bootstrapping': What is bootstrapping (booting process)?,"On power, BIOS/UEFI initializes hardware, loads Boot Loader from MBR to RAM, which then loads Kernel into memory.","Kernel initializes OS data structures, device drivers, and starts the first user process (init/systemd).",['OS Basics'],Common
160,1,OS,Easy,Explain 'Kernel Panic': What is a Kernel Panic or Blue Screen of Death?,An action taken by an operating system when it detects a critical internal error from which it cannot safely recover.,"Prints debugging info, stops CPU cores, and syncs disks to prevent file corruption.",['OS Basics'],Common
161,1,OS,Medium,Explain 'Multiprocessing vs Multithreading': Compare Multiprocessing and Multithreading.,Multiprocessing: Running multiple processes (independent memory). Multithreading: Running multiple threads (shared memory).,Multiprocessing is fault-tolerant (crash is isolated) but context switches are slow. Multithreading is fast but crash kills process.,"['Processes', 'Threads']",Common
162,1,OS,Medium,Explain 'Interrupts vs Polling': Compare Interrupts and Polling for device communication.,Polling: CPU checks device status registers continuously. Interrupts: Device signals CPU when data is ready.,"Polling wastes CPU cycles. Interrupts allow CPU to do other work, suspending tasks only when hardware triggers inputs.",['I/O Devices'],Common
163,1,OS,Medium,Explain 'Thread Pools': Why do applications use Thread Pools?,"Reuses a queue of worker threads to process tasks, avoiding the high cost of creating and destroying OS threads repeatedly.","Controls thread saturation limits, preventing system CPU exhaustion from spawning thousands of threads.",['Concurrency'],Common
164,1,OS,Medium,Explain 'Concurrency vs Parallelism': What is the difference between Concurrency and Parallelism?,Concurrency: Handling multiple tasks at once by interleaving them. Parallelism: Executing multiple tasks simultaneously.,Concurrency can run on a single core via scheduling. Parallelism requires multi-core CPU architectures.,['Concurrency'],Common
165,1,OS,Hard,Explain 'Amdahl's Law': What is Amdahl's Law and its significance?,"Calculates the maximum speedup limit of a program using parallel processors, constrained by its sequential components.",Speedup = 1 / (S + (1 - S)/N) where S is sequential fraction. Emphasizes that parallel scaling is bounded by serial blocks.,['Performance'],Common
166,1,OS,Hard,Explain 'Translation Lookaside Buffer (TLB)': What is a TLB and how does it optimize virtual memory?,A hardware cache in the MMU that stores recent virtual-to-physical address mappings.,"Saves expensive double-lookup memory accesses to page tables, accelerating memory access times.",['CPU Architecture'],Common
167,1,OS,Medium,Explain 'Copy-on-Write (COW)': Explain Copy-on-Write (COW) memory optimization.,"Allows multiple processes to share same memory pages until one process writes, at which point a page copy is created.","Optimizes fork() system calls. Child processes share parent memory until writes occur, avoiding redundant memory copying.",['Memory Management'],Common
168,1,OS,Hard,Explain 'Page Size Tradeoffs': What are the trade-offs of large page sizes in virtual memory?,"Large pages: Smaller page tables, fewer TLB misses, faster I/O. Drawback: Increases internal fragmentation.",Smaller pages use memory efficiently but require large page table structures and increase page fault frequencies.,['Memory Management'],Common
169,1,OS,Medium,Explain 'Swapping': What is Swapping in memory management?,Temporarily moving inactive processes out of physical RAM to swap space on disk to free up memory.,"Allows active processes to allocate enough RAM, but brings disk read overhead when swapped processes resume.",['Memory Management'],Common
170,1,OS,Medium,Explain 'Process Control Block (PCB)': What metadata does a Process Control Block (PCB) contain?,"Contains Process ID (PID), Process State (Ready, Run), Program Counter (PC), CPU registers, memory limits, and open file lists.",Acts as the repository of process context saved during CPU context switches.,['Processes'],Common
171,1,OS,Medium,Explain 'Thread Control Block (TCB)': What is a Thread Control Block (TCB) and how does it differ from a PCB?,"A TCB stores thread-specific metadata: Thread ID, Stack Pointer, Program Counter, and registers.","TCB is lighter. Threads share heap and global files stored in the parent's PCB, keeping TCB size minimal.",['Threads'],Common
172,1,OS,Medium,"Explain 'Schedulers types': What is the difference between Long-term, Medium-term, and Short-term schedulers?",Long-term (Job): Controls degree of multiprogramming. Short-term (CPU): Selects next process to run. Medium-term: Swaps processes.,"Long-term runs slow, picking tasks from disk. Short-term runs in milliseconds, allocating CPU time slots.",['Scheduling'],Common
173,1,OS,Medium,Explain 'Preemptive Scheduling': Compare Preemptive and Non-Preemptive scheduling.,Preemptive: OS can interrupt a running process to run another. Non-Preemptive: Process runs until it yields or terminates.,Preemptive ensures responsiveness (time-sharing) but requires concurrency synchronization. Non-Preemptive is simple but causes starvation.,['Scheduling'],Common
174,1,OS,Hard,Explain 'Priority Inversion': What is Priority Inversion and how is it resolved?,"Occurs when a low-priority thread holds a lock needed by a high-priority thread, while a medium-priority thread blocks execution.",Resolved using Priority Inheritance: low-priority thread temporarily inherits high priority until it releases the lock.,"['Concurrency', 'Scheduling']",Common
175,1,OS,Medium,Explain 'Belady's Anomaly': What is Belady's Anomaly and when does it occur?,An anomaly where increasing the number of page frames results in more page faults.,Occurs in FIFO page replacement algorithm. Does not occur in stack-based algorithms like LRU.,['Memory Management'],Common
176,1,OS,Medium,Explain 'Direct Memory Access (DMA)': What is Direct Memory Access (DMA) and why is it used?,"A hardware module that transfers blocks of data between I/O devices and RAM directly, bypassing the CPU.","Saves CPU from handling individual byte interrupt cycles, freeing it for application computation.",['I/O Devices'],Common
177,1,OS,Medium,Explain 'Hard vs Soft Real-Time Systems': Compare Hard and Soft Real-Time systems.,"Hard: Missing a deadline causes system failure (e.g. pacemakers, airbags). Soft: Deadlines are preferred but not catastrophic (e.g. streaming).",Hard real-time requires deterministic response limits. Soft real-time handles latency averages gracefully.,['OS Basics'],Common
178,1,OS,Medium,Explain 'File Allocation Table (FAT)': How does a FAT file system store files?,Uses a linked list table where each entry points to the next cluster index of the file on disk.,Simple to implement but has poor search times for large files as it requires sequential traversal.,['File Systems'],Common
179,1,OS,Medium,Explain 'Symlink vs Hard Link': Compare Symbolic Links (symlink) and Hard Links.,Hard Link: Direct pointer to the file's inode; deleting original file keeps data. Symlink: Text pointer to original path; breaks if moved.,Hard links cannot cross file systems or link directories. Symlinks can link directories across storage drives.,['File Systems'],Common
180,1,OS,Medium,Explain 'Fork-Join Model': What is the Fork-Join concurrency model?,"A parallel execution model where a thread splits ('forks') into sub-tasks running in parallel, and waits ('joins') for them to finish.","Implemented in Java's ForkJoinPool, which uses work-stealing algorithms to maximize CPU core utilization.",['Concurrency'],Common
181,1,System Design,Medium,System Design: 'URL Shortener Design' - How do you design a scalable URL Shortener (TinyURL) system?,"Use Base62 encoding on unique IDs, check duplicates with database index, and cache hot links in Redis.","Handles millions of daily requests using API Gateways, relational lookup tables, and Memcached/Redis layers.","['System Design', 'HLD']",Very Common
182,1,System Design,Hard,System Design: 'Netflix Video Streaming Design' - Design Netflix/YouTube video streaming architecture.,"Upload videos to storage bucket (S3), encode videos into resolutions, and distribute via CDN caching nodes.",Uses Adaptive Bitrate Streaming (HLS/DASH). Relies on NoSQL database for metadata and user tracking.,"['System Design', 'HLD']",Very Common
183,1,System Design,Hard,System Design: 'WhatsApp Chat Design' - Design a real-time instant messaging system (WhatsApp).,"Maintain persistent WebSockets or long-polling TCP connections. Route messages via chat service, caching undelivered messages in database.",Message status (sent/delivered/read) is managed through event streams. Uses Cassandra for message history storage.,"['System Design', 'HLD']",Very Common
184,1,System Design,Hard,System Design: 'Uber Ride Sharing Design' - Design the Uber ride-sharing matching backend.,"Use geospatial index ring (Uber H3, Google S2) to map riders and drivers. Telemetry coordinates stream via WebSockets/Kafka.","Match loops scan driver regions within cell indexes, calculating paths and ETAs using routing algorithms.","['System Design', 'HLD']",Very Common
185,1,System Design,Hard,System Design: 'Twitter Feed Design' - Design Twitter/Instagram feed and timeline system.,"Use Fan-out on Write (push) for normal users, caching timelines in Redis. Use Fan-out on Read (pull) for celebrity users.",Hybrid approach avoids write amplification on celebrity tweets while keeping timeline generation fast.,"['System Design', 'HLD']",Very Common
186,1,System Design,Medium,System Design: 'Rate Limiter Design' - Design an API Rate Limiter.,"Use Token Bucket, Leaking Bucket, or Sliding Window Log algorithms in Redis.","Rate limiter sits in API Gateway, matching user ip/token to a counter block, returning HTTP 429 if exceeded.","['System Design', 'HLD']",Very Common
187,1,System Design,Hard,System Design: 'Distributed Cache Design' - Design a Distributed Cache system (Redis Cluster).,Use consistent hashing to shard keys across cache servers. Implement primary-replica node pairs for failover.,Cache eviction utilizes LRU or LFU algorithms. Synchronization writes use gossip protocols for clustering.,"['System Design', 'HLD']",Common
188,1,System Design,Hard,System Design: 'E-commerce Payment Design' - Design a highly reliable e-commerce payment gateway integration.,"Use idempotent transaction tokens, distributed lock systems, and state machines to manage transaction phases.","Requires message queues for retry logs, handling third-party webhook callbacks gracefully, and reconciliation loops.","['System Design', 'HLD']",Very Common
189,1,System Design,Hard,System Design: 'Web Crawler Design' - Design a distributed Web Crawler.,"Maintain a URL queue, duplicate checker (Bloom filter), HTML Downloader, and Parser.",Respects robots.txt using domain rate limiting rules. Saves parsed page indexes in distributed store.,"['System Design', 'HLD']",Common
190,1,System Design,Medium,System Design: 'Notification Engine Design' - Design a Notification Service at scale.,Use priority queues (RabbitMQ/Kafka) to decouple notification triggers. Scale dispatch workers to send emails/SMS/push.,"Handles template rendering, third-party provider failovers, client opt-outs, and device token registries.","['System Design', 'HLD']",Very Common
191,1,System Design,Hard,System Design: 'Ticketmaster Booking Design' - Design Ticketmaster (seat booking system).,"Use transactional databases, caching active seating grids, and distributed locks (Redis) to hold seats during checkout.","Once checkout timer expires, release locks. Prevents double-booking using database isolation (Repeatable Read).","['System Design', 'HLD']",Very Common
192,1,System Design,Hard,System Design: 'Google Docs Design' - Design a collaborative real-time document editor (Google Docs).,Use Operational Transformation (OT) or Conflict-Free Replicated Data Types (CRDT) to merge text edits.,Client connections persist via WebSockets. Changes push to document coordinator to resolve synchronization conflicts.,"['System Design', 'HLD']",Common
193,1,System Design,Medium,System Design: 'Autocomplete System Design' - Design autocomplete typeahead search suggestions.,Build a Trie (Prefix Tree) structured from query search logs. Cache top search outputs on each prefix node.,Deploy trie nodes to CDN locations. Debounce user keystrokes on the frontend before calling APIs.,"['System Design', 'HLD']",Very Common
194,1,System Design,Hard,System Design: 'Kafka Broker Design' - Design a Distributed Message Queue (Kafka-like).,Store message offsets sequentially in partition log files on disk. Consumers pull data from offset points.,Scale read-write throughput using sharded partitions. Uses zero-copy OS transfers to speed up read sockets.,"['System Design', 'HLD']",Common
195,1,System Design,Hard,"System Design: 'Distributed Key-Value Store' - Design a partitioned, replicated key-value storage engine (DynamoDB-like).","Use Consistent Hashing for sharding, Raft/Paxos consensus for replication, and LSM Trees for writes.","Supports tunable consistency (R + W > N) for read/write nodes, and uses vector clocks to resolve data conflicts.","['System Design', 'HLD']",Common
196,1,System Design,Medium,System Design: 'CDN Architecture' - Design a Content Delivery Network (CDN).,Deploy proxy caching nodes at edge server locations. Use Geo-DNS routing to direct users to the closest node.,"Edge nodes cache static assets (images, js) and use cache invalidation protocols (TTL, purge APIs) to update contents.","['System Design', 'HLD']",Common
197,1,System Design,Hard,System Design: 'Monitoring Alerting Design' - Design a metric monitoring and alerting system.,Use time-series databases (InfluxDB) for metric aggregation. Pull logs using daemon agents (Prometheus format).,"Rules engine runs cron sweeps over databases, pushing alerts to notification channels if metrics exceed thresholds.","['System Design', 'HLD']",Common
198,1,System Design,Hard,System Design: 'Distributed File System' - Design a Distributed File System (GFS/HDFS-like).,A Master node tracks directory metadata and maps files to chunk locations. Chunkservers store data blocks.,Files are split into fixed blocks (64MB) and replicated across multiple rack servers for durability.,"['System Design', 'HLD']",Common
199,1,System Design,Medium,System Design: 'Leaderboard Design' - Design a real-time gaming leaderboard system.,Use Redis Sorted Sets (ZSET) to store user scores. Retrieve user ranks using logarithmic operations.,Distribute read queries via read replicas. Scales write loads using batch updates.,"['System Design', 'HLD']",Common
